Accident_ID,FECHA,RANGO HORARIO,DIA SEMANA,DISTRITO,district_code,LUGAR1,latitude,longitude,LUGAR 2,lugar2_code,Nr.,CPFA Hielo,CPFA Lluvia,CPFA Niebla,CPFA Seco,CPFA Nieve,CPSV Mojada,CPSV Aceite,CPSV Grava Suelta,CPSV Seca Y Limpia,Nº VICTIMAS *,TIPO ACCIDENTE,SKOS_TypeAccident,TIPO PERSONA,SEXO,LESIVIDAD,Tramo Edad
2017-2379,09-03-17,19:00-19:59,JUEVES,Ciudad Lineal,https://www.wikidata.org/wiki/Q1763694,calle de Arturo Soria,40.46258333,-3.66463889, CUESTA DEL SAGRADO CORAZON,,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,COLISIÓN DOBLE,/kos/accidentes/colisión-doble,CONDUCTOR,HOMBRE,HL                                      ,30-34
2017-2481,10-03-17,9:00-9:59,VIERNES,Carabanchel,https://www.wikidata.org/wiki/Q1001991,Calle General Ricardos,40.39025556,-3.729,,,177,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,COLISIÓN DOBLE,/kos/accidentes/colisión-doble,CONDUCTOR,HOMBRE,HL                                      ,55-59
2017-2481,10-03-17,9:00-9:59,VIERNES,Carabanchel,https://www.wikidata.org/wiki/Q1001991,Calle General Ricardos,40.39025556,-3.729,,,177,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,COLISIÓN DOBLE,/kos/accidentes/colisión-doble,VIAJERO,HOMBRE,HL                                      ,0-5
2017-2465,12-03-17,15:00-15:59,DOMINGO,Tetuán,https://www.wikidata.org/wiki/Q1773540,"Avenida del Presidente Carmona, Madrid",40.45400833,-3.697147222,calle de los Mártires de la Ventilla,https://www.wikidata.org/wiki/Q56122321,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,COLISIÓN DOBLE,/kos/accidentes/colisión-doble,CONDUCTOR,HOMBRE,HL                                      ,45-49
2017-2625,13-03-17,8:00-8:59,LUNES,Centro,https://www.wikidata.org/wiki/Q1763376,San Bernardo street,40.42572222,-3.707219444,calle de San Vicente Ferrer,https://www.wikidata.org/wiki/Q27165938,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,COLISIÓN DOBLE,/kos/accidentes/colisión-doble,CONDUCTOR,HOMBRE,HL                                      ,30-34
2017-2544,14-03-17,21:00-21:59,MARTES,Arganzuela,https://www.wikidata.org/wiki/Q2000929,Calle de Embajadores,40.389625,-3.69205,,,76,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,CAÍDA BICICLETA,/kos/accidentes/caída-bicicleta,CONDUCTOR,HOMBRE,HL                                      ,35-39
2017-2583,15-03-17,17:00-17:59,MIERCOLES,Tetuán,https://www.wikidata.org/wiki/Q1773540,Calle de Bravo Murillo,40.44831111,-3.703594444,,,288,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,COLISIÓN DOBLE,/kos/accidentes/colisión-doble,CONDUCTOR,HOMBRE,HL                                      ,25-29
2017-2610,16-03-17,14:00-14:59,JUEVES,Centro,https://www.wikidata.org/wiki/Q1763376,Caballero de Gracia street,40.41923889,-3.699527778,,,36,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,CAÍDA BICICLETA,/kos/accidentes/caída-bicicleta,CONDUCTOR,HOMBRE,HL                                      ,25-29
2017-2632,16-03-17,20:00-20:59,JUEVES,Salamanca,https://www.wikidata.org/wiki/Q1773521,Francisco Silvela Street,40.434675,-3.674663889,,,50,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,COLISIÓN DOBLE,/kos/accidentes/colisión-doble,CONDUCTOR,HOMBRE,HL                                      ,30-34
2017-2618,17-03-17,13:00-13:59,VIERNES,Centro,https://www.wikidata.org/wiki/Q1763376,San Bernardo street,40.42572222,-3.707219444,calle del Pez,https://www.wikidata.org/wiki/Q5741017,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,COLISIÓN DOBLE,/kos/accidentes/colisión-doble,CONDUCTOR,HOMBRE,HG                                      ,18-20
2017-2700,17-03-17,15:00-15:59,VIERNES,Arganzuela,https://www.wikidata.org/wiki/Q2000929,Paseo de Santa María de la Cabeza,40.39649444,-3.703358333,,,10,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,CAÍDA BICICLETA,/kos/accidentes/caída-bicicleta,CONDUCTOR,MUJER,HL                                      ,35-39
2017-2647,17-03-17,22:00-22:59,VIERNES,Chamberí,https://www.wikidata.org/wiki/Q1763370,rue Luchana,40.43086667,-3.69974167, GLORIETA DE BILBAO,,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,COLISIÓN DOBLE,/kos/accidentes/colisión-doble,CONDUCTOR,HOMBRE,HL                                      ,21-24
2017-2701,18-03-17,14:00-14:59,SABADO,Arganzuela,https://www.wikidata.org/wiki/Q2000929,calle de Segovia,40.41392222,-3.717280556,,,57,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,CAÍDA BICICLETA,/kos/accidentes/caída-bicicleta,CONDUCTOR,HOMBRE,HL                                      ,25-29
2017-2717,19-03-17,10:00-10:59,DOMINGO,Centro,https://www.wikidata.org/wiki/Q1763376,street of Montera,40.4186,-3.702241667,Strato de la Ĝardenoj,https://www.wikidata.org/wiki/Q28052611,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,CAÍDA BICICLETA,/kos/accidentes/caída-bicicleta,CONDUCTOR,MUJER,HL                                      ,55-59
2017-2702,20-03-17,15:00-15:59,LUNES,Retiro,https://www.wikidata.org/wiki/Q2002296,avenue Ciudad de Barcelona,40.40285833,-3.677888889, CALLE DEL ALBERCHE,,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,ATROPELLO,/kos/accidentes/atropello,CONDUCTOR,HOMBRE,IL                                      ,Oct-14
2017-2771,20-03-17,18:00-18:59,LUNES,Hortaleza,https://www.wikidata.org/wiki/Q1928529,Avenida de los Andes,40.45482778,-3.621480556,,,46,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,COLISIÓN DOBLE,/kos/accidentes/colisión-doble,CONDUCTOR,HOMBRE,HL                                      ,0-5
2017-2738,20-03-17,21:00-21:59,LUNES,Chamberí,https://www.wikidata.org/wiki/Q1763370,Calle de Bravo Murillo,40.44831111,-3.703594444,,,80,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,ATROPELLO,/kos/accidentes/atropello,CONDUCTOR,HOMBRE,IL                                      ,21-24
2017-2783,21-03-17,16:00-16:59,MARTES,Salamanca,https://www.wikidata.org/wiki/Q1773521,rue Ayala,40.42756667,-3.680883333,,,15,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,COLISIÓN DOBLE,/kos/accidentes/colisión-doble,CONDUCTOR,HOMBRE,HL                                      ,50-54
2017-2869,23-03-17,21:00-21:59,JUEVES,Arganzuela,https://www.wikidata.org/wiki/Q2000929,Paseo de Santa María de la Cabeza,40.39649444,-3.703358333,,,23,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,CAÍDA BICICLETA,/kos/accidentes/caída-bicicleta,CONDUCTOR,HOMBRE,HL                                      ,25-29
2017-2880,24-03-17,21:00-21:59,VIERNES,Ciudad Lineal,https://www.wikidata.org/wiki/Q1763694,Calle de Alcalá,40.4283,-3.66778,,,413,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1,COLISIÓN DOBLE,/kos/accidentes/colisión-doble,CONDUCTOR,HOMBRE,HG                                      ,60-64
2017-2917,25-03-17,8:00-8:59,SABADO,Arganzuela,https://www.wikidata.org/wiki/Q2000929,boulevard de Yeserías,40.39760556,-3.707177778,,,29,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,CAÍDA BICICLETA,/kos/accidentes/caída-bicicleta,CONDUCTOR,HOMBRE,HL                                      ,55-59
2017-3229,26-03-17,16:00-16:59,DOMINGO,Tetuán,https://www.wikidata.org/wiki/Q1773540,Calle de Bravo Murillo,40.44831111,-3.703594444,,,299,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,ATROPELLO,/kos/accidentes/atropello,CONDUCTOR,HOMBRE,IL                                      ,40-44
