Accident_ID,FECHA,RANGO HORARIO,DIA SEMANA,DISTRITO,district_code,LUGAR 1,coordinate location,lugar1_code,LUGAR 2,lugar2_code,Nº,CPFA Hielo,CPFA Lluvia,CPFA Niebla,CPFA Seco,CPFA Nieve,CPSV Mojada,CPSV Aceite,CPSV Grava Suelta,CPSV Seca Y Limpia,Nº VICTIMAS *,TIPO ACCIDENTE,SKOS_TypeAccident,TIPO PERSONA,SEXO,LESIVIDAD,Tramo Edad
2017-8455,07/09/2017,10:00-10:59,JUEVES,Centro,https://www.wikidata.org/wiki/Q1763376,Calle del Barquillo,"40.421888888889,-3.695675",https://www.wikidata.org/wiki/Q5740983,,,21,false,false,false,true,false,false,false,false,true,1,COLISIÓN DOBLE,/kos/accidentes/colisión-doble,CONDUCTOR,MUJER,HL                                      ,25-29
2017-8363,07/09/2017,21:00-21:59,JUEVES,Centro,https://www.wikidata.org/wiki/Q1763376,Calle de Toledo,"40.410627777778,-3.7089805555556",https://www.wikidata.org/wiki/Q5740883,,,40,false,false,false,true,false,false,false,false,true,2,ATROPELLO,/kos/accidentes/atropello,CONDUCTOR,HOMBRE,HL                                      ,30-34
2017-8526,08/09/2017,14:00-14:59,VIERNES,Centro,https://www.wikidata.org/wiki/Q1763376,calle de los Reyes,"40.424213888889,-3.7092583333333",https://www.wikidata.org/wiki/Q20908841,,,5,false,false,false,true,false,false,false,false,true,1,COLISIÓN DOBLE,/kos/accidentes/colisión-doble,CONDUCTOR,HOMBRE,HL                                      ,30-34
2017-8453,09/09/2017,20:00-20:59,SABADO,Centro,https://www.wikidata.org/wiki/Q1763376,Gran Vía,"40.42,-3.70361",https://www.wikidata.org/wiki/Q1324163,,,42,false,false,false,true,false,false,false,false,true,1,COLISIÓN DOBLE,/kos/accidentes/colisión-doble,CONDUCTOR,MUJER,HL                                      ,30-34
2017-8451,09/09/2017,20:00-20:59,SABADO,Centro,https://www.wikidata.org/wiki/Q1763376,Calle de la Ribera de Curtidores,"40.407997222222,-3.7073916666667",https://www.wikidata.org/wiki/Q5740938,,,18,false,false,false,true,false,false,false,false,true,1,CAÍDA BICICLETA,/kos/accidentes/caída-bicicleta,CONDUCTOR,HOMBRE,HL                                      ,25-29
2017-8342,10/09/2017,21:00-21:59,DOMINGO,Puente de Vallecas,https://www.wikidata.org/wiki/Q2003054,calle de Santa Catalina,"40.415744444444,-3.6977638888889",https://www.wikidata.org/wiki/Q28595198, RONDA,,0,false,false,false,true,false,false,false,false,true,1,COLISIÓN DOBLE,/kos/accidentes/colisión-doble,CONDUCTOR,HOMBRE,HL                                      ,15-17
2017-8411,11/09/2017,21:00-21:59,LUNES,Centro,https://www.wikidata.org/wiki/Q1763376,calle de Fuencarral,"40.424791666667,-3.7007611111111",https://www.wikidata.org/wiki/Q5740840,,,107,false,false,false,true,false,false,false,false,true,2,COLISIÓN DOBLE,/kos/accidentes/colisión-doble,CONDUCTOR,HOMBRE,HL                                      ,30-34
2017-8457,12/09/2017,15:00-15:59,MARTES,Chamartín,https://www.wikidata.org/wiki/Q1766348,calle del Príncipe de Vergara,"40.438177777778,-3.6790472222222",https://www.wikidata.org/wiki/Q5741020,,,132,false,false,false,true,false,false,false,false,true,1,CAÍDA BICICLETA,/kos/accidentes/caída-bicicleta,CONDUCTOR,HOMBRE,HL                                      ,25-29
2017-8414,12/09/2017,19:00-19:59,MARTES,Retiro,https://www.wikidata.org/wiki/Q2002296,rue Doctor Esquerdo,"40.41720278,-3.66934722",https://www.wikidata.org/wiki/Q5741005, PLAZA DEL CONDE DE CASAL,,0,false,false,false,true,false,false,false,false,true,1,COLISIÓN DOBLE,/kos/accidentes/colisión-doble,CONDUCTOR,HOMBRE,HL                                      ,40-44
2017-8452,12/09/2017,20:00-20:59,MARTES,Moncloa-Aravaca,https://www.wikidata.org/wiki/Q2017682,rue Antonio Machado,"40.465836111111,-3.7192277777778",https://www.wikidata.org/wiki/Q28793893,"Calle de Francos Rodríguez, Madrid",https://www.wikidata.org/wiki/Q26810988,0,false,false,false,true,false,false,false,false,true,1,CAÍDA BICICLETA,/kos/accidentes/caída-bicicleta,CONDUCTOR,HOMBRE,HL                                      ,55-59
2017-8491,13/09/2017,20:00-20:59,MIERCOLES,Centro,https://www.wikidata.org/wiki/Q1763376,calle de Segovia,"40.413922222222,-3.7172805555556",https://www.wikidata.org/wiki/Q8255505,,,21,false,false,false,true,false,false,false,false,true,1,CAÍDA BICICLETA,/kos/accidentes/caída-bicicleta,CONDUCTOR,HOMBRE,HG                                      ,30-34
2017-8644,15/09/2017,2:00-2:59,VIERNES,Centro,https://www.wikidata.org/wiki/Q1763376,calle del Conde de Romanones,"40.413372222222,-3.7048388888889",https://www.wikidata.org/wiki/Q28026494,,,10,false,false,false,true,false,true,false,false,false,1,CAÍDA BICICLETA,/kos/accidentes/caída-bicicleta,CONDUCTOR,MUJER,HL                                      ,25-29
2017-8534,15/09/2017,22:00-22:59,VIERNES,Moncloa-Aravaca,https://www.wikidata.org/wiki/Q2017682,calle Marqués de Urquijo,"40.429775,-3.7187972222222",https://www.wikidata.org/wiki/Q17421317,,,10,false,false,false,true,false,false,false,false,true,1,COLISIÓN DOBLE,/kos/accidentes/colisión-doble,CONDUCTOR,HOMBRE,HL                                      ,18-20
2017-8749,16/09/2017,14:00-14:59,SABADO,Centro,https://www.wikidata.org/wiki/Q1763376,San Bernardo street,"40.425722222222,-3.7072194444444",https://www.wikidata.org/wiki/Q5740864,,,87,false,false,false,true,false,false,false,false,true,1,CAÍDA BICICLETA,/kos/accidentes/caída-bicicleta,CONDUCTOR,MUJER,HL                                      ,21-24
